Lat,Long,Ocean,Cr_nmol/kg,sst_09,sst_10,sst_11,sst_12,Year,sst_01,sst_02,sst_04,sst_05,sst_06,sst_07,sst_08,sst_03,yearly_mean_sst
-8.0,-79.845,Pacific,2.3633333333333333,20.418907,20.19718,22.028595,24.005142,1997,,,,,,,,,21.662457
-3.583,-85.833,Pacific,3.9299999999999997,23.857933,23.632498,25.848333,26.642178,1997,,,,,,,,,24.995235
-2.9625,-25.6148,Atlantic,2.595360888888889,25.477186,25.872734,25.794117,26.711645,1997,,,,,,,,,25.96392
1.68,-25.01,Atlantic,2.7292743130922723,26.069063,26.508116,27.327188,26.862703,1997,,,,,,,,,26.691769
2.433333333333334,-102.0,Pacific,4.3,27.205364,27.22601,27.947502,27.344507,1997,,,,,,,,,27.430845
11.83333333333333,-103.8333333333333,Pacific,3.1154545454545457,27.039846,27.039316,27.919847,28.50867,1997,,,,,,,,,27.62692
12.0325,-28.9805,Atlantic,2.606471166666667,27.037502,27.138357,27.228437,25.382908,1997,,,,,,,,,26.6968
12.5882,-17.5724,Atlantic,2.214833875,27.077074,28.022783,29.048437,25.929134,1997,,,,,,,,,27.519356
12.5942,-17.9199,Atlantic,2.5420315555555555,27.279219,28.16402,29.488125,26.705444,1997,,,,,,,,,27.909203
12.61,-17.7157,Atlantic,2.572664178571429,27.018166,28.183292,29.331564,26.236088,1997,,,,,,,,,27.692276
12.612,-17.5728,Atlantic,2.18983575,27.077074,28.022783,29.048437,25.929134,1997,,,,,,,,,27.519356
12.74366666666667,-28.5015,Atlantic,2.849897804814339,26.76577,26.60504,26.624992,25.92189,1997,,,,,,,,,26.479424
12.83333333333333,103.9333333333333,Pacific,15.8,,,,,1997,,,,,,,,,
15.0,-107.0,Pacific,2.8378695652173915,28.039062,28.579838,28.171562,27.711493,1997,,,,,,,,,28.125488
16.8,-106.9,Pacific,3.496111111111111,28.856407,29.097431,28.279375,27.811996,1997,,,,,,,,,28.511303
17.27893333333333,-32.15118333333334,Atlantic,2.7914761140638444,25.569063,26.922277,26.184427,24.942549,1997,,,,,,,,,25.90458
18.2,-104.2,Pacific,3.09375,28.606146,28.966331,28.930315,28.81119,1997,,,,,,,,,28.828495
18.9,-108.8,Pacific,2.9788888888888887,28.882189,28.597681,28.536564,27.523966,1997,,,,,,,,,28.385101
20.0,-106.0,Pacific,2.772307692307692,29.540201,29.85626,29.010939,28.035786,1997,,,,,,,,,29.110796
20.9,-108.0,Pacific,2.9250000000000003,29.974218,29.742945,28.36125,26.689968,1997,,,,,,,,,28.692095
21.0,-132.0,Pacific,3.9208317958005945,24.0225,23.397993,24.027958,21.982138,1997,,,,,,,,,23.357647
21.47666666666667,-126.595,Pacific,3.3438615061310726,23.867542,22.836897,22.871721,21.914139,1997,,,,,,,,,22.872574
23.485,-117.0216666666667,Pacific,3.4616646002789655,24.157658,24.287298,23.122557,21.040073,1997,,,,,,,,,23.151896
24.0,-42.0,Atlantic,2.9149999999999996,26.94379,27.237362,26.225315,24.912098,1997,,,,,,,,,26.329641
24.16716666666667,-160.2538333333333,Pacific,3.01,26.858908,26.400606,24.972395,23.0717,1997,,,,,,,,,25.325901
24.28333333333333,-114.9833333333333,Pacific,3.1889373243116528,26.02969,25.246574,25.070312,23.675203,1997,,,,,,,,,25.005444
24.69833333333333,-114.1066666666667,Pacific,3.0910074438492483,27.540627,26.12994,26.235003,23.585503,1997,,,,,,,,,25.872768
25.98333333333333,-47.13333333333333,Atlantic,2.954285714285714,28.01047,27.039314,25.582502,24.455675,1997,,,,,,,,,26.27199
26.14,-35.19483333333334,Atlantic,2.8124520083911744,26.706045,26.310434,25.262812,23.690777,1997,,,,,,,,,25.492517
