Lat,Long,Ocean,Cr_nmol/kg,Year,yearly_mean_ncp,ncp_01,ncp_02,ncp_03,ncp_04,ncp_05,ncp_06,ncp_07,ncp_08,ncp_09,ncp_10,ncp_11,ncp_12
-67.29,163.536,Southern Ocean,3.835823175579897,1997,,,,,,,,,,,,,
-67.189,145.721,Southern Ocean,3.7810159689477536,1997,,,,,,,,,,,,,
-67.1,167.36,Southern Ocean,3.858050465689068,1997,,,,,,,,,,,,,
-63.963,-66.242,Southern Ocean,3.811316877086188,1997,106.70242718555085,,,,,,,,,,,66.29621414861309,147.1086402224886
-59.611,148.64,Southern Ocean,3.78023700507115,1997,112.87843265238247,,,,,,,,,,57.63137248000593,113.2169441538149,167.78698132332661
-59.6,-67.92,Southern Ocean,3.63,1997,154.4180418137009,,,,,,,,,,56.63278445271455,134.1365299061286,272.4848110822595
-59.6,-67.919,Southern Ocean,3.71209750575196,1997,154.4180418137009,,,,,,,,,,56.63278445271455,134.1365299061286,272.4848110822595
-54.83,-95.68,Southern Ocean,3.666,1997,121.92380730981161,,,,,,,,,,80.99004671722524,80.98472224609431,203.79665296611526
-53.583,149.298,Southern Ocean,3.489904376667043,1997,102.85538377021861,,,,,,,,,,91.72351709008305,83.5839469189781,133.25868730159465
-53.2,-118.13,Southern Ocean,3.633333333333333,1997,120.32359405816453,,,,,,,,,,92.38867528781175,137.52138199533283,131.06072489134903
-50.99,-72.04,Southern Ocean,3.71,1997,,,,,,,,,,,,,
-49.906,141.931,Southern Ocean,3.3225,1997,125.92363711465084,,,,,,,,,,92.23279508982627,102.02140530165856,183.51671095246775
-49.393,150.389,Southern Ocean,3.244285714285714,1997,98.42660993704338,,,,,,,,,,92.8560786963257,101.8825357611195,100.54121535368496
-47.0,141.9,Southern Ocean,3.514688225129975,1997,163.91317481657703,,,,,,,,,,147.73529768245058,152.49627166243346,191.507955104847
-46.97,141.93,Southern Ocean,2.9738178106991984,1997,163.5409369120038,,,,,,,,,,149.21863624051335,151.4866817780125,189.9174927174855
-45.7,153.5,Southern Ocean,3.462690122800073,1997,401.06853968155775,,,,,,,,,,163.92745629142897,229.06208352137833,810.216079231866
-41.9,-35.43,Atlantic,2.9048153040828515,1997,155.97262387879496,,,,,,,,,,142.07504710160012,162.27072715585535,163.57209737892944
-40.4,153.9,Pacific,3.1583256230805192,1997,280.14571875336225,,,,,,,,,,282.08348833865386,288.30720867324544,270.04645924818743
-40.36,-31.04,Atlantic,2.926442647019276,1997,193.59677191844068,,,,,,,,,,177.5544144930413,198.18159917031772,205.054302091963
-40.3,153.5,Pacific,4.81,1997,283.7675973129791,,,,,,,,,,305.7691067768383,285.7656837717133,259.7680013903856
-34.67,154.55,Pacific,3.504695380939145,1997,132.93369113402971,,,,,,,,,,152.14170013506137,134.54770581150527,112.11166745552255
-32.5,-175.0,Pacific,3.938377473548981,1997,103.92729402802797,,,,,,,,,,130.6261695703528,101.59466753846728,79.56104497526381
-32.5,180.0,Pacific,3.126575779524156,1997,133.48307811638446,,,,,,,,,,175.12130011050976,124.47373775938325,100.85419647926032
-30.0,155.0,Pacific,3.1625591137119584,1997,95.23614539414488,,,,,,,,,,135.2198515549194,82.46556791734481,68.02301671017048
-30.0,160.0,Pacific,3.2097407291094324,1997,115.84948850546584,,,,,,,,,,151.65557405804313,108.18062338377183,87.71226807458252
-30.0,165.0,Pacific,3.630148319802189,1997,111.1531609134954,,,,,,,,,,160.66488343693402,93.80336634938506,78.99123295416712
-30.0,170.0,Pacific,3.4696973419068704,1997,111.38902439366176,,,,,,,,,,151.55269692808062,97.45130782488104,85.1630684280236
-30.0,175.0,Pacific,3.1924015710686837,1997,103.08710716192645,,,,,,,,,,144.17087202501668,94.7964624981998,70.2939869625629
-26.25,-103.96,Pacific,3.295,1997,26.026929659952817,,,,,,,,,,25.962163168888413,26.26130369830941,25.85732211266063
-23.72578333333333,-24.92083333333333,Atlantic,2.8862909263908265,1997,52.02601864530314,,,,,,,,,,58.31632823815836,51.23444488472979,46.52728281302125
-21.56666666666667,-114.3,Pacific,4.699999999999999,1997,27.4761462654095,,,,,,,,,,28.388901255371266,28.706434232604,25.333103308253236
-21.38333333333333,-114.2833333333333,Pacific,5.114285714285714,1997,28.430611849169257,,,,,,,,,,29.39620326461621,26.693757311779436,29.201874971112126
-16.819,-72.841,Pacific,2.6566666666666667,1997,426.7208335287382,,,,,,,,,,302.253551261945,420.40823009968625,557.5007192245832
-15.999,-76.998,Pacific,3.76,1997,305.2953783171837,,,,,,,,,,262.2068389275795,371.1343339537361,282.54496207023556
-14.0,-99.0,Pacific,3.5985996122424173,1997,84.02295642414903,,,,,,,,,,79.65923775855897,90.74418213983876,81.66544937404936
-14.0,-77.06,Pacific,5.3475,1997,394.29198111546816,,,,,,,,,,326.17422762160584,623.3376359266881,233.3640797981105
-13.666,-76.785,Pacific,2.766666666666667,1997,498.7323192350209,,,,,,,,,,614.1836802920293,639.9915017970319,242.02177561600138
-12.363,-77.0,Pacific,2.155,1997,450.94465735421574,,,,,,,,,,493.5561696807604,493.8664848001048,365.4113175817821
-12.0481,-78.3143,Pacific,2.633326026071368,1997,279.4925212413283,,,,,,,,,,363.2951188355471,288.3039509223551,186.8784939660826
-12.0471,-77.4325,Pacific,2.342040085557373,1997,435.9004532777562,,,,,,,,,,607.8747075168892,400.2652301866332,299.5614221297461
-12.0451,-77.657,Pacific,2.7913146662115818,1997,358.0127800789035,,,,,,,,,,445.11332482405777,339.9611036015172,288.96391181113574
