year,latitude,longitude,sst
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9999.0
1997,0.0,0.0,-9935.549
1997,0.0,0.0,-9686.62
1997,0.0,0.0,-9803.76
1997,0.0,0.0,-9740.312
1997,0.0,0.0,-9730.549
1997,0.0,0.0,-9657.326
1997,0.0,0.0,-9857.454
1997,0.0,0.0,-9642.6875
1997,0.0,0.0,-9764.708
1997,0.0,0.0,-9325.422
1997,0.0,0.0,-9086.234
1997,0.0,0.0,-9081.347
1997,0.0,0.0,-9110.616
1997,0.0,0.0,-9012.992
1997,0.0,0.0,-8832.394
1997,0.0,0.0,-8808.003
1997,0.0,0.0,-8720.151
1997,0.0,0.0,-8993.493
1997,0.0,0.0,-8725.004
1997,0.0,0.0,-8305.246
1997,0.0,0.0,-8051.437
1997,0.0,0.0,-8095.3545
1997,0.0,0.0,-8031.9
1997,0.0,0.0,-7919.605
1997,0.0,0.0,-7407.0947
1997,0.0,0.0,-7221.5757
1997,0.0,0.0,-7094.642
1997,0.0,0.0,-6547.9727
1997,0.0,0.0,-6401.5376
1997,0.0,0.0,-6396.635
1997,0.0,0.0,-6240.441
1997,0.0,0.0,-6235.5215
1997,0.0,0.0,-6186.679
1997,0.0,0.0,-6552.7407
1997,0.0,0.0,-6591.7715
1997,0.0,0.0,-6220.7964
1997,0.0,0.0,-6171.945
1997,0.0,0.0,-6186.564
1997,0.0,0.0,-6328.124
1997,0.0,0.0,-6669.805
1997,0.0,0.0,-6738.0986
1997,0.0,0.0,-6899.1675
1997,0.0,0.0,-6318.2188
1997,0.0,0.0,-6127.838
1997,0.0,0.0,-6161.976
1997,0.0,0.0,-6059.433
1997,0.0,0.0,-6240.09
1997,0.0,0.0,-6132.6777
1997,0.0,0.0,-6034.978
1997,0.0,0.0,-5854.3545
1997,0.0,0.0,-5624.8984
1997,0.0,0.0,-5185.5186
1997,0.0,0.0,-4921.868
1997,0.0,0.0,-4902.2856
1997,0.0,0.0,-4726.5107
1997,0.0,0.0,-4833.869
1997,0.0,0.0,-4331.073
1997,0.0,0.0,-4550.708
1997,0.0,0.0,-4540.844
1997,0.0,0.0,-4413.843
1997,0.0,0.0,-4433.2534
1997,0.0,0.0,-4330.7363
1997,0.0,0.0,-4491.7563
1997,0.0,0.0,-4452.6646
1997,0.0,0.0,-4135.305
1997,0.0,0.0,-4105.895
1997,0.0,0.0,-4159.5566
1997,0.0,0.0,-3925.2617
1997,0.0,0.0,-3861.7856
1997,0.0,0.0,-3847.0845
1997,0.0,0.0,-4047.1636
1997,0.0,0.0,-4154.5464
1997,0.0,0.0,-4320.478
1997,0.0,0.0,-4286.244
1997,0.0,0.0,-3988.3955
1997,0.0,0.0,-3734.4658
1997,0.0,0.0,-3685.5615
1997,0.0,0.0,-3363.334
1997,0.0,0.0,-3133.795
1997,0.0,0.0,-3123.9253
1997,0.0,0.0,-3128.7476
