1997,1998,1999,2000,2001
-8231.191,-8768.324,-8455.704,-8548.514,-7767.1553
-8280.024,-8714.57,-8450.809,-8260.398,-7801.303
-8328.897,-8968.509,-8543.612,-8577.872,-7884.299
-8363.051,-8983.197,-8577.811,-8709.713,-7894.076
-8470.496,-9046.662,-8602.269,-8909.936,-7899.0015
-8450.961,-9144.327,-8636.484,-8880.625,-7806.2524
-8387.477,-9222.45,-8411.849,-8958.746,-7762.3267
-8363.104,-9285.952,-8533.945,-8944.104,-7835.612
-8265.422,-9071.069,-8436.223,-8919.655,-7889.2715
-8338.679,-9017.397,-8529.004,-8909.92,-7986.9062
-8519.4,-9007.655,-8665.753,-8641.322,-8099.2373
-8631.703,-8973.486,-8739.017,-8675.524,-8216.448
-8626.789,-8983.271,-8846.473,-8660.842,-8406.876
-8660.936,-8851.449,-8841.572,-8563.184,-8431.307
-8724.391,-8802.64,-8900.194,-8612.006,-8367.868
-8822.044,-8929.555,-9041.818,-8680.377,-8402.07
-8924.607,-9032.102,-9159.041,-8690.146,-8494.853
-8968.547,-9071.172,-9212.785,-8768.258,-8543.699
-9036.916,-9027.241,-9124.862,-8836.633,-8680.42
-9061.322,-8988.203,-9154.15,-8748.694,-8739.018
-9022.223,-8968.611,-9222.512,-8734.035,-8695.085
-8919.648,-8944.143,-9124.795,-8914.727,-8787.834
-8968.506,-8968.574,-9071.062,-8826.84,-8734.142
-8924.529,-8953.879,-9080.799,-8968.455,-8807.393
-8895.216,-8924.577,-9100.316,-9027.096,-8812.251
-8885.41,-9027.095,-9022.174,-9110.121,-8787.793
-8880.479,-8988.013,-8987.965,-9114.988,-8885.414
-8860.939,-8895.224,-8968.413,-9036.817,-8841.449
-8963.506,-8900.08,-8943.998,-8963.531,-8763.301
-8973.279,-8968.494,-8939.119,-8983.067,-8841.434
-9056.342,-9031.986,-8978.21,-9022.124,-8890.279
-8904.957,-9051.497,-8992.869,-9036.757,-8880.519
-8992.871,-8988.006,-9046.576,-8997.678,-8807.258
-9002.61,-9080.786,-9075.832,-9002.564,-8856.057
-9012.389,-9017.291,-9007.463,-8895.119,-8807.226
-8773.043,-9017.282,-8821.845,-8699.764,-8563.049
-8821.864,-9061.246,-8855.998,-8660.737,-8558.146
-8826.723,-9056.389,-8865.738,-8699.806,-8587.45
-8753.4375,-8963.578,-8821.764,-8641.187,-8616.7295
-8714.338,-9031.98,-8797.348,-8660.736,-8572.738
-8650.86,-8934.27,-8787.572,-8704.677,-8621.604
-8514.154,-8758.491,-8865.722,-8611.911,-8655.787
-8548.347,-8572.885,-8875.449,-8519.1,-8611.85
-8475.06,-8519.142,-8958.463,-8445.849,-8709.507
-8411.426,-8465.371,-8875.412,-8401.852,-8826.67
-8396.741,-8235.793,-8733.805,-8504.355,-8753.408
-8435.827,-8191.825,-8728.879,-8475.008,-8772.89
-8387.031,-8245.56,-8655.574,-8401.684,-8684.93
-8328.396,-8294.428,-8714.207,-8416.335,-8582.321
-8391.908,-8177.1865,-8699.548,-8474.898,-8616.488
-8352.81,-8162.551,-8723.986,-8479.745,-8719.021
-8318.615,-8206.54,-8631.178,-8421.15,-8772.738
-8440.738,-8304.281,-8855.897,-8396.721,-8753.255
-8401.666,-8094.25,-8899.854,-8445.576,-8577.422
-8401.668,-7996.634,-8846.149,-8367.444,-8430.899
-8387.037,-7874.5596,-8743.71,-7888.8633,-8186.7144
-8299.132,-7737.803,-8636.332,-7713.0405,-7864.4014
-8328.444,-7689.0396,-8616.819,-7483.5386,-7630.0376
-8265.024,-7796.4277,-8475.221,-7234.539,-7371.1875
-8269.881,-7688.951,-8372.691,-7068.5054,-7161.1973
-8216.143,-7732.907,-8235.918,-7004.9834,-7034.206
-8138.051,-7718.267,-8216.371,-6897.556,-6951.1885
-8045.3003,-7703.569,-8104.0684,-6770.628,-6746.1504
-7967.131,-7742.5713,-7923.426,-6672.922,-6633.8584
-7781.579,-7561.8447,-7830.6475,-6560.6045,-6502.0083
-7527.606,-7517.8896,-7689.052,-6340.809,-6321.2783
-7371.247,-7439.786,-7518.0767,-6111.2754,-6062.408
-7249.056,-7092.956,-7195.704,-5945.214,-5940.306
-7200.244,-6926.921,-7220.123,-5950.082,-5935.4136
-7126.9707,-7000.191,-7088.2397,-5930.556,-5847.545
-6921.8237,-7058.77,-7019.8936,-5769.3916,-5657.09
-6877.8633,-7063.6436,-6805.002,-5740.0967,-5627.7617
-6819.195,-7063.6094,-6594.946,-5627.713,-5573.981
-6863.178,-6985.5186,-6658.4375,-5505.61,-5466.517
-6872.963,-6868.3535,-6707.2856,-5500.7627,-5490.9814
-6960.845,-6755.998,-6824.449,-5407.9424,-5403.0693
-6858.26,-6697.3525,-6726.7305,-5339.5195,-5329.7837
-6990.126,-6682.6606,-6765.776,-5305.2856,-5305.337
-7009.669,-6716.912,-6814.6274,-5344.3667,-5344.3945
-6907.1094,-6702.216,-6907.467,-5456.754,-5451.88
-6916.87,-6882.955,-7034.523,-5476.292,-5471.3994
-6975.4785,-6882.9424,-6975.949,-5461.6167,-5456.7197
-6965.6553,-6878.089,-6975.999,-5515.323,-5515.2993
-6907.024,-6697.253,-6976.0264,-5520.179,-5510.358
-7019.3867,-6814.4844,-7132.2725,-5520.169,-5510.3447
-7014.538,-6706.9863,-7093.191,-5554.336,-5544.4976
-6882.61,-6877.898,-6966.159,-5554.3135,-5544.4697
-6853.314,-6926.709,-6809.775,-5515.223,-5505.386
-6858.1562,-6902.314,-6853.828,-5471.259,-5471.202
-7043.789,-6990.2456,-6971.117,-5515.2324,-5500.5103
-7048.6562,-6907.1836,-6873.385,-5500.533,-5490.7075
-7068.174,-6980.3813,-7005.109,-5539.5713,-5544.3945
-7175.5493,-7170.8877,-7171.1714,-5583.502,-5593.2
-7331.7734,-7307.6787,-7229.7646,-5671.4023,-5661.592
-7287.827,-7346.721,-7356.663,-5705.585,-5690.8813
-7405.049,-7380.8857,-7395.7627,-5690.901,-5695.7334
-7473.422,-7424.776,-7503.17,-5681.1094,-5695.7256
-7424.6313,-7038.8936,-7400.5283,-5700.6543,-5705.4883
-7160.8325,-6906.9844,-7185.6143,-5808.123,-5808.0684
-6916.5044,-6667.585,-7019.491,-5910.692,-5905.7173
-6701.5107,-6452.6304,-6877.8135,-5969.287,-5978.937
-6559.7734,-6447.6953,-6819.1675,-6071.823,-6066.826
-6491.3804,-6286.5146,-6701.876,-6110.9014,-6105.918
-6369.185,-6232.751,-6599.2036,-6193.9243,-6184.0425
-6291.0293,-6183.866,-6218.2075,-6189.02,-6179.1523
-6188.416,-6154.5522,-6154.7236,-6149.915,-6154.6997
-6188.436,-6183.8643,-6184.0757,-6179.2305,-6179.1235
-6144.486,-6139.875,-6140.126,-6140.158,-6140.0327
-6154.2544,-6154.5103,-6135.219,-6154.759,-6149.7666
-6164.0957,-6164.347,-6144.9814,-6164.513,-6159.5225
-6134.844,-6135.093,-6140.1016,-6154.7363,-6154.6357
-6164.168,-6154.617,-6159.6245,-6164.464,-6164.3706
-6115.3047,-6120.414,-6115.658,-6120.47,-6115.5117
-6017.552,-6027.542,-6032.569,-6042.2744,-6047.076
-5958.877,-5968.8726,-5964.1416,-5973.8164,-5978.629
-5958.8613,-5963.9824,-5959.256,-5964.061,-5963.978
-5968.6465,-5978.6553,-5973.9097,-5978.7227,-5978.6216
-6002.826,-6003.0693,-6003.1885,-6003.1455,-6003.0273
-5953.9233,-5954.1733,-5954.2617,-5954.2563,-5949.2627
-5900.1553,-5905.2725,-5905.372,-5905.361,-5900.358
-5880.5957,-5885.7197,-5885.7993,-5885.8086,-5885.68
-5695.0254,-5695.272,-5695.336,-5695.353,-5695.207
-5631.5034,-5641.501,-5641.5693,-5641.587,-5641.454
-5680.3213,-5685.439,-5695.248,-5685.5254,-5680.5156
-5743.8193,-5739.1523,-5724.5513,-5744.117,-5739.1187
-5782.875,-5758.662,-5773.3584,-5778.2676,-5773.2847
-5782.876,-5807.4795,-5812.381,-5807.5605,-5807.4473
-5773.077,-5773.2744,-5783.053,-5778.234,-5773.2285
-5773.032,-5773.2266,-5778.1396,-5783.081,-5763.418
-5797.432,-5792.754,-5802.535,-5797.7056,-5782.948
-5812.1016,-5812.2935,-5846.5054,-5831.915,-5802.512
-5763.2188,-5773.191,-5807.377,-5807.463,-5773.159
-5719.2363,-5714.5415,-5743.839,-5743.9326,-5719.3896
-5729.008,-5729.1885,-5768.2646,-5748.8164,-5734.0405
-5704.5547,-5719.36,-5773.082,-5748.7773,-5714.4697
-5665.4155,-5670.45,-5733.9316,-5704.7363,-5665.554
-5553.042,-5538.5386,-5626.422,-5592.3877,-5538.5156
-5494.3955,-5514.057,-5562.8545,-5553.25,-5504.2695
-5474.798,-5474.951,-5553.043,-5504.3525,-5470.0264
-5508.946,-5484.677,-5577.421,-5553.1626,-5474.873
-5567.502,-5523.698,-5572.4824,-5592.1895,-5518.759
-5601.646,-5582.278,-5587.086,-5606.7944,-5504.0503
-5596.714,-5601.759,-5577.249,-5601.8823,-5523.557
-5601.545,-5611.4736,-5552.7695,-5611.5947,-5538.1455
-5572.172,-5591.8555,-5528.2812,-5621.3086,-5528.326
-5508.6025,-5533.158,-5474.4717,-5587.062,-5489.1855
-5474.36,-5430.4736,-5440.216,-5533.26,-5420.7324
-5420.5747,-5391.305,-5386.4033,-5503.8745,-5415.7676
-5366.802,-5313.0996,-5396.098,-5440.3203,-5381.5146
-5322.7437,-5303.251,-5366.693,-5420.7046,-5332.586
-5288.4727,-5268.9917,-5386.1543,-5435.276,-5391.148
-5224.8896,-5224.9653,-5332.345,-5366.788,-5322.69
-5146.636,-5151.5913,-5268.76,-5278.748,-5244.4473
-5097.7095,-5102.674,-5175.8555,-5220.033,-5200.3984
-5014.5703,-5039.0635,-5038.899,-5141.7393,-5112.3447
-4990.044,-4985.2417,-4985.052,-5039.0405,-5009.646
-4960.6284,-4965.6133,-4945.847,-5029.1895,-4970.459
-4877.491,-4897.127,-4906.6753,-4985.1094,-4945.928
-4774.7935,-4794.438,-4813.76,-4911.728,-4804.115
-4823.638,-4823.7305,-4818.601,-4965.4224,-4833.377
-4901.754,-4916.503,-4872.259,-4965.3457,-4931.031
-4862.5884,-4901.7383,-4857.508,-4931.037,-4906.5093
-4798.9595,-4852.74,-4793.8877,-4916.251,-4852.6724
-4676.7188,-4686.476,-4681.3594,-4798.812,-4715.7646
-4613.1113,-4622.8486,-4603.0356,-4710.7676,-4637.485
-4573.9497,-4549.4727,-4534.525,-4656.954,-4559.2173
-4515.22,-4539.618,-4514.8853,-4588.4365,-4510.2446
-4559.1074,-4568.8213,-4529.4326,-4588.302,-4524.788
-4602.991,-4593.145,-4558.675,-4622.4233,-4583.325
-4661.5376,-4646.786,-4631.8545,-4695.661,-4627.1963
-4651.643,-4651.544,-4631.727,-4656.455,-4646.6123
-4685.7495,-4724.7256,-4665.822,-4666.121,-4710.0254
-4714.928,-4700.1357,-4695.036,-4670.891,-4744.085
-4778.3545,-4763.5547,-4773.121,-4758.7515,-4802.6094
-4783.123,-4763.4233,-4743.6772,-4768.4204,-4802.509
-4748.8154,-4743.7847,-4733.7705,-4743.877,-4768.1963
-4719.3633,-4709.4736,-4694.544,-4699.7856,-4724.0713
-4694.799,-4689.785,-4679.7207,-4704.532,-4704.349
-4636.031,-4635.8975,-4630.6875,-4655.5493,-4665.0986
-4601.7124,-4577.118,-4567.0483,-4606.574,-4630.768
-4503.8623,-4513.422,-4503.407,-4538.0244,-4532.88
-4469.5615,-4439.946,-4449.5176,-4474.3706,-4479.0156
-4425.474,-4410.4688,-4405.436,-4430.285,-4430.037
-4405.8257,-4390.8135,-4390.6836,-4400.8516,-4405.5254
-4342.1904,-4341.854,-4341.7075,-4351.8574,-4346.7773
-4327.4346,-4307.536,-4307.3857,-4322.413,-4327.129
-4253.9907,-4263.417,-4258.411,-4268.5107,-4297.7
-4283.215,-4287.752,-4287.6694,-4297.7505,-4322.0474
-4258.672,-4268.099,-4263.0986,-4278.077,-4277.949
-4224.3555,-4228.912,-4223.877,-4229.1035,-4258.309
-4273.122,-4267.932,-4272.6626,-4277.924,-4307.1064
-4287.701,-4292.2944,-4287.2437,-4297.389,-4331.493
-4258.293,-4267.7427,-4262.7373,-4267.953,-4292.337
-4233.7344,-4238.3003,-4233.3003,-4233.6187,-4243.3345
-4262.9556,-4267.543,-4262.526,-4277.5215,-4282.3506
-4282.4087,-4282.1094,-4281.9844,-4287.2124,-4301.8145
-4292.125,-4296.7056,-4296.5845,-4301.8057,-4331.085
-4345.864,-4360.191,-4345.4067,-4345.741,-4370.1255
-4262.6616,-4276.948,-4271.9746,-4257.6187,-4277.1426
-4238.128,-4257.2944,-4242.543,-4252.637,-4252.5986
-4223.366,-4242.548,-4222.927,-4242.7935,-4242.77
-4154.8193,-4144.64,-4159.289,-4174.2334,-4154.671
-4125.413,-4124.981,-4129.8975,-4130.135,-4135.0405
-4144.9385,-4144.478,-4144.5225,-4149.6445,-4144.772
-4203.542,-4212.8755,-4208.0234,-4208.242,-4208.2705
-4257.2695,-4256.8066,-4256.879,-4257.0864,-4262.0117
-4330.5703,-4330.116,-4330.201,-4330.3716,-4325.538
-4379.414,-4378.9595,-4379.042,-4379.1973,-4379.2773
-4305.985,-4300.6475,-4305.617,-4305.757,-4305.8525
-4291.2246,-4295.677,-4295.7324,-4295.873,-4295.984
-4163.996,-4163.5483,-4163.6143,-4158.841,-4158.9775
-4163.921,-4163.4727,-4163.579,-4163.68,-4163.8027
-4100.2764,-4099.8423,-4099.956,-4100.022,-4100.172
-4070.8313,-4070.4048,-4070.5476,-4080.379,-4080.5374
