Lat,Long,Ocean,Cr_nmol/kg,npp_10,npp_11,npp_12,Year,npp_01,npp_02,npp_04,npp_05,npp_06,npp_07,npp_08,npp_09,npp_03,yearly_mean_npp
1.68,-25.01,Atlantic,2.7292743130922723,287.58783,280.61725,325.67416,1997,,,,,,,,,,297.95975
2.433333333333334,-102.0,Pacific,4.3,298.82147,238.09584,184.63002,1997,,,,,,,,,,240.51576
11.83333333333333,-103.8333333333333,Pacific,3.1154545454545457,302.16086,369.72345,266.11975,1997,,,,,,,,,,312.668
12.0325,-28.9805,Atlantic,2.606471166666667,612.0853,574.62726,517.7669,1997,,,,,,,,,,568.15985
12.5882,-17.5724,Atlantic,2.214833875,1131.6512,764.38196,1666.4802,1997,,,,,,,,,,1187.5045
12.5942,-17.9199,Atlantic,2.5420315555555555,973.49475,550.57056,997.3163,1997,,,,,,,,,,840.4605
12.61,-17.7157,Atlantic,2.572664178571429,1089.2026,612.9093,1264.4503,1997,,,,,,,,,,988.85406
12.612,-17.5728,Atlantic,2.18983575,1131.6512,764.38196,1666.4802,1997,,,,,,,,,,1187.5045
12.74366666666667,-28.5015,Atlantic,2.849897804814339,465.55035,537.482,498.73074,1997,,,,,,,,,,500.58768
12.83333333333333,103.9333333333333,Pacific,15.8,,,,1997,,,,,,,,,,
15.0,-107.0,Pacific,2.8378695652173915,330.65033,307.69455,246.11533,1997,,,,,,,,,,294.82007
16.8,-106.9,Pacific,3.496111111111111,297.93488,243.81087,313.6399,1997,,,,,,,,,,285.12854
17.27893333333333,-32.15118333333334,Atlantic,2.7914761140638444,252.87509,299.3766,298.59793,1997,,,,,,,,,,283.61655
18.2,-104.2,Pacific,3.09375,314.02527,267.7134,282.60434,1997,,,,,,,,,,288.11435
18.9,-108.8,Pacific,2.9788888888888887,339.65442,277.5645,337.13226,1997,,,,,,,,,,318.11707
20.0,-106.0,Pacific,2.772307692307692,389.171,309.81006,334.079,1997,,,,,,,,,,344.35336
20.9,-108.0,Pacific,2.9250000000000003,257.3104,276.1928,380.46396,1997,,,,,,,,,,304.65573
21.0,-132.0,Pacific,3.9208317958005945,221.76578,258.3018,297.62915,1997,,,,,,,,,,259.23224
21.47666666666667,-126.595,Pacific,3.3438615061310726,242.0595,260.32162,295.2998,1997,,,,,,,,,,265.89365
23.485,-117.0216666666667,Pacific,3.4616646002789655,340.03827,398.13293,650.32336,1997,,,,,,,,,,462.83154
24.0,-42.0,Atlantic,2.9149999999999996,163.02596,173.43004,196.35612,1997,,,,,,,,,,177.60405
24.16716666666667,-160.2538333333333,Pacific,3.01,228.5506,229.62178,322.3364,1997,,,,,,,,,,260.1696
24.28333333333333,-114.9833333333333,Pacific,3.1889373243116528,300.43347,340.0082,584.41394,1997,,,,,,,,,,408.2852
24.69833333333333,-114.1066666666667,Pacific,3.0910074438492483,302.58347,374.76288,695.1508,1997,,,,,,,,,,457.49902
25.98333333333333,-47.13333333333333,Atlantic,2.954285714285714,161.30156,175.80428,205.36545,1997,,,,,,,,,,180.82378
26.14,-35.19483333333334,Atlantic,2.8124520083911744,152.22472,191.92676,221.60515,1997,,,,,,,,,,188.58556
30.0,-140.0,Pacific,3.855384615384615,515.0055,492.60092,423.07034,1997,,,,,,,,,,476.89224
32.16666666666666,-64.5,Atlantic,2.985199082760058,221.34233,296.3504,370.1786,1997,,,,,,,,,,295.95712
32.2,-64.5,Atlantic,2.9,253.4251,324.5645,386.91992,1997,,,,,,,,,,321.6365
32.66666666666666,-29.41666666666667,Atlantic,4.35,223.51562,319.41922,341.44467,1997,,,,,,,,,,294.79318
33.36666666666667,-27.5,Atlantic,2.9729166666666664,271.91437,351.3216,368.4758,1997,,,,,,,,,,330.5706
34.0,-158.0,Pacific,3.193636363636364,269.35666,219.49731,333.2896,1997,,,,,,,,,,274.04785
34.11666666666667,-41.73333333333333,Atlantic,3.11,279.72247,318.32404,433.01724,1997,,,,,,,,,,343.6879
34.23,-120.03,Pacific,2.5625,817.0687,625.6861,861.47894,1997,,,,,,,,,,768.07794
35.7,-40.76666666666667,Atlantic,2.9678571428571425,345.8367,395.27963,422.79477,1997,,,,,,,,,,387.97037
35.92283333333334,-26.87926666666667,Atlantic,2.6555652751315826,293.77423,428.0801,382.29285,1997,,,,,,,,,,368.04907
35.93333333333333,-5.566666666666666,Mediterranean,3.0066666666666664,656.73096,554.5932,744.1609,1997,,,,,,,,,,651.82837
36.16666666666666,15.58333333333333,Mediterranean,3.1866666666666665,375.06177,544.1631,416.03976,1997,,,,,,,,,,445.08823
37.95,-31.26666666666667,Atlantic,3.105,367.96405,624.1861,490.95505,1997,,,,,,,,,,494.3684
39.43333333333333,-23.23333333333333,Atlantic,2.873,320.5458,417.49124,470.05722,1997,,,,,,,,,,402.6981
39.98333333333333,6.5,Mediterranean,3.2577777777777777,346.36884,387.59308,486.3771,1997,,,,,,,,,,406.77966
41.99716666666666,-158.0085,Pacific,3.0271428571428567,376.54742,319.11334,236.11116,1997,,,,,,,,,,310.59064
42.24181666666667,-19.1961,Atlantic,2.7699134028822447,382.5711,449.00107,417.60687,1997,,,,,,,,,,416.39297
45.0,145.0,Pacific,3.3052264808362373,780.8188,580.6625,304.76605,1997,,,,,,,,,,555.4158
46.0,-158.0,Pacific,3.1285714285714286,270.53214,240.63564,203.09215,1997,,,,,,,,,,238.08665
46.07166666666667,-129.9283333333333,Pacific,5.25703564727955,517.9009,384.56448,277.04874,1997,,,,,,,,,,393.17136
47.2434,-9.33188333333333,Atlantic,2.8271901147291607,534.61786,365.88846,261.0498,1997,,,,,,,,,,387.1854
49.566,-138.667,Pacific,2.974634146341464,612.9985,279.3621,,1997,,,,,,,,,,446.1803
50.0,-145.0,Pacific,3.6784019415902725,598.3163,385.1226,,1997,,,,,,,,,,491.71942
50.00166666666667,-145.0,Pacific,3.095,598.3163,385.1226,,1997,,,,,,,,,,491.71942
54.5,-48.46,Atlantic,2.942720047983206,416.9748,298.60916,,1997,,,,,,,,,,357.792
55.0,-147.2158333333333,Pacific,3.25,501.6731,284.45694,,1997,,,,,,,,,,393.065
69.5,-137.9833333333333,Arctic,1.730899048197846,,,,1997,,,,,,,,,,
69.66666666666667,-138.15,Arctic,1.884756741370988,,,,1997,,,,,,,,,,
69.81666666666666,-138.3333333333333,Arctic,1.827060106431059,,,,1997,,,,,,,,,,
70.0,-138.0,Arctic,1.90398895301763,,,,1997,,,,,,,,,,
71.1,-139.0166666666667,Arctic,1.9953419583391834,,,,1997,,,,,,,,,,
72.51666666666667,-136.6833333333333,Arctic,2.416847930261436,,,,1997,,,,,,,,,,
72.8,-159.62,Arctic,1.6675,,,,1997,,,,,,,,,,
74.63333333333334,-137.3333333333333,Arctic,2.839956586487576,,,,1997,,,,,,,,,,
85.13,-150.1,Arctic,2.4526086956521738,,,,1997,,,,,,,,,,
-67.29,163.536,Southern Ocean,3.835823175579897,,,,1998,,99.25056,,,,,,,,99.25056
-67.189,145.721,Southern Ocean,3.7810159689477536,,,,1998,,,,,,,,,,
-67.1,167.36,Southern Ocean,3.858050465689068,,,,1998,179.5919,81.39456,,,,,,,,130.49323
-63.963,-66.242,Southern Ocean,3.8113168770861883,127.44619,137.08401,206.60585,1998,200.73108,96.28022,70.05656,,,,,,,139.70065
-59.611,148.64,Southern Ocean,3.78023700507115,90.10622,132.15965,142.42235,1998,244.0968,87.98223,47.287827,,,,40.586876,59.8724,,105.564285
-59.6,-67.92,Southern Ocean,3.63,157.49385,153.65117,164.68204,1998,177.0682,110.96722,97.6351,,,,73.56723,99.86372,,129.36607
-59.6,-67.919,Southern Ocean,3.71209750575196,157.49385,153.65117,164.68204,1998,177.0682,110.96722,97.6351,,,,73.56723,99.86372,,129.36607
-54.83,-95.68,Southern Ocean,3.6659999999999995,198.836,208.14253,229.97578,1998,305.60663,193.89832,111.47135,76.385376,,,101.3955,146.56136,,174.69698
-53.583,149.298,Southern Ocean,3.489904376667043,200.44057,233.98941,322.6956,1998,306.28036,162.09285,135.26778,136.30359,,,110.180084,133.88152,,193.45908
-53.2,-118.13,Southern Ocean,3.6333333333333333,187.44943,259.47006,327.65793,1998,294.19153,203.98347,143.53171,92.2013,,,101.276085,152.70435,,195.82956
-50.99,-72.04,Southern Ocean,3.71,,,,1998,,,,,,,,,,
-49.906,141.931,Southern Ocean,3.3225,243.47176,215.33943,307.90405,1998,460.99258,251.96951,163.54967,140.09106,,105.72982,138.38034,178.04893,,220.5477
-49.393,150.389,Southern Ocean,3.244285714285714,251.3185,268.01712,451.68887,1998,343.37845,364.17328,205.2324,135.71234,,99.34963,140.33751,178.68095,,243.7889
-47.0,141.9,Southern Ocean,3.514688225129975,260.9368,268.8691,431.6122,1998,475.83423,248.12457,221.63979,202.31569,120.27944,129.93622,190.01976,242.90984,,253.86162
-46.97,141.93,Southern Ocean,2.9738178106991984,260.9368,268.8691,431.6122,1998,475.83423,248.12457,221.63979,202.31569,120.27944,129.93622,190.01976,242.90984,,253.86162
-45.7,153.5,Southern Ocean,3.4626901228000735,409.3176,452.0968,522.568,1998,489.39676,344.75644,247.79933,199.60487,161.38425,163.24715,216.94495,354.30832,,323.76587
-41.9,-35.43,Atlantic,2.9048153040828515,888.5985,841.00494,1400.9877,1998,1047.1144,865.4543,657.4369,471.2234,246.97133,223.76009,415.42212,551.3507,,691.7568
-40.4,153.9,Pacific,3.1583256230805192,952.34094,532.18445,839.6953,1998,935.5175,711.5077,617.9644,522.9071,307.96066,335.46848,447.44714,918.674,,647.4243
-40.36,-31.04,Atlantic,2.926442647019276,675.97906,889.54553,1020.5063,1998,809.7071,754.8164,542.9924,367.83133,272.50848,289.41086,392.21695,669.31573,,607.71185
-40.3,153.5,Pacific,4.81,937.44366,584.76855,738.74756,1998,729.0628,786.0836,699.66833,520.8547,353.07626,324.03238,392.21655,813.8051,,625.4327
-34.67,154.55,Pacific,3.504695380939145,708.5403,641.8891,641.346,1998,504.51367,356.73337,358.4438,430.13754,465.96863,466.25763,726.5443,1007.894,,573.47894
-32.5,-175.0,Pacific,3.9383774735489814,375.51926,297.45596,329.0387,1998,353.75266,257.54874,246.5026,298.15408,391.1578,448.6474,454.5857,448.1899,,354.59573
-32.5,180.0,Pacific,3.126575779524156,563.3939,517.21313,439.0832,1998,379.73056,297.7632,323.50488,336.97708,454.82877,429.11038,536.04126,605.0956,,443.88565
-30.0,155.0,Pacific,3.1625591137119584,461.62204,396.9588,349.14157,1998,299.55417,258.8952,284.55698,344.6732,385.77927,434.84158,535.5034,555.91315,,391.58542
-30.0,160.0,Pacific,3.2097407291094324,491.22717,451.79855,310.55298,1998,331.15298,232.49588,346.32535,357.4208,381.05673,552.4768,572.5531,639.5379,,424.23624
-30.0,165.0,Pacific,3.6301483198021893,525.0522,476.88104,352.1769,1998,292.7585,254.45956,300.52826,386.31342,361.23245,445.71887,584.9462,609.9703,,417.27615
-30.0,170.0,Pacific,3.4696973419068704,491.42844,376.24426,349.39786,1998,426.88766,267.71854,275.6744,498.2304,436.3482,466.07993,491.71805,658.0667,,430.7086
-30.0,175.0,Pacific,3.1924015710686833,416.47797,372.72452,299.43692,1998,314.19946,278.48495,252.29958,268.73624,310.1112,403.26407,473.44727,518.63745,,355.25632
-26.25,-103.96,Pacific,3.295,171.39548,96.75584,104.45194,1998,117.18271,94.9332,119.16011,140.9244,166.36925,212.99426,251.58774,197.6423,,152.12703
-23.72578333333333,-24.92083333333333,Atlantic,2.8862909263908265,185.23672,217.62938,196.08975,1998,200.79575,150.38678,143.96356,204.30617,241.30745,243.86104,298.0238,239.69174,,211.02657
-21.56666666666667,-114.3,Pacific,4.699999999999999,170.90778,154.63898,156.87903,1998,222.15572,155.7401,129.26767,132.8673,182.96895,231.5349,229.61664,166.29636,,175.71577
-21.38333333333333,-114.2833333333333,Pacific,5.114285714285714,183.69727,156.82649,172.986,1998,223.41785,143.80125,134.37961,132.97322,185.1142,228.40573,237.41014,178.1212,,179.73936
-16.819,-72.841,Pacific,2.6566666666666667,2873.2178,3115.4421,3874.9075,1998,1047.1215,2270.812,3258.5264,2762.6145,1492.5359,1145.0347,1835.4574,2561.9336,,2385.2366
-15.999,-76.998,Pacific,3.76,1002.6057,822.01434,668.2118,1998,959.32074,701.66425,577.8555,702.9671,623.40216,791.6844,593.4666,666.07526,,737.20624
-14.0,-99.0,Pacific,3.5985996122424173,315.6674,296.8091,389.51385,1998,393.5375,403.4309,323.0543,270.17206,249.13657,286.04526,293.44315,290.8048,,319.2377
-14.0,-77.06,Pacific,5.3475,1774.0658,1935.2396,1207.4062,1998,1441.9968,2982.8909,2620.454,2137.0088,1137.351,1478.6375,1770.6267,2254.2131,,1885.4446
-13.666,-76.785,Pacific,2.766666666666667,2649.884,2733.6042,2829.028,1998,1408.5261,2800.327,3544.4282,3543.9126,3785.9795,3201.12,1654.6926,2816.263,,2815.2515
-12.363,-77.0,Pacific,2.1550000000000002,3689.239,3314.6006,4138.92,1998,1639.8608,3149.838,4048.5886,3750.551,2597.9045,2139.301,1355.39,1222.4468,,2822.422
-12.0481,-78.3143,Pacific,2.633326026071368,1089.6222,1714.5076,1871.0433,1998,696.05035,1284.3329,1727.7301,1071.4135,1114.7438,1115.9923,1079.316,806.4428,,1233.745
-12.0471,-77.4325,Pacific,2.342040085557373,1070.9744,2564.608,2819.3455,1998,1165.4539,2866.1514,4505.33,2776.1292,2767.884,2007.5111,1060.4305,1211.555,,2255.9429
-12.0451,-77.657,Pacific,2.7913146662115818,1112.2635,1624.7194,2551.7273,1998,1011.96045,2082.955,3622.1765,3312.4263,2454.1636,1884.9692,1097.0842,1145.1266,,1990.8702
-12.0449,-77.3761,Pacific,2.746059475986703,1070.9744,2564.608,2819.3455,1998,1165.4539,2866.1514,4505.33,2776.1292,2767.884,2007.5111,1060.4305,1211.555,,2255.9429
-12.0448,-78.1669,Pacific,3.607777993342297,1061.2521,1699.9247,1978.2827,1998,734.93585,1360.9972,1955.996,1215.3134,1261.0684,1179.0554,1103.12,789.5037,,1303.5864
-12.0446,-77.7099,Pacific,2.525425829219805,1112.4889,1613.6691,2156.1816,1998,954.9904,1749.7147,2924.8594,2362.1162,1927.7252,1384.5841,1091.8972,974.62933,,1659.3505
-12.01,-79.2,Pacific,3.5559957419451718,1093.4059,1091.7535,1011.5601,1998,654.61505,626.171,980.48804,769.6055,685.62,661.4289,864.5544,820.11005,,841.7557
-11.9999,-84.0,Pacific,3.472942293926747,560.7532,726.98254,584.7699,1998,423.63138,336.00085,299.35287,366.0118,361.97754,414.37662,594.0979,1462.7671,,557.3383
-10.67,-25.01,Atlantic,2.9176770642337257,245.95787,205.11,199.32164,1998,169.52406,140.31087,144.45448,155.31166,231.75253,240.39113,241.77034,260.72394,,203.14806
-10.001,-78.38,Pacific,1.9833333333333332,2138.7634,4608.2007,2937.9644,1998,2021.9927,2653.0554,3166.4966,2904.9294,2479.2917,4197.184,1878.6261,2007.0837,,2817.599
-9.999,-79.134,Pacific,3.022,1940.6151,2350.1912,2577.5918,1998,701.19965,747.73804,1237.7294,1259.0262,1091.7887,1666.5637,1599.0575,1623.045,,1526.777
-9.922,-80.224,Pacific,3.42,768.2286,862.26294,1104.316,1998,448.54807,407.65707,644.43445,559.3424,573.6795,669.6068,653.34467,700.74243,,672.01483
-9.0,-85.833,Pacific,4.12,824.27216,574.65393,711.74396,1998,418.13193,286.0285,322.878,442.26706,499.88715,665.6207,746.30597,884.7863,,579.68866
-8.41,-24.98,Atlantic,2.829815369967665,256.32892,216.21513,216.5953,1998,179.4612,174.8705,194.73796,205.41592,247.56825,271.2672,289.27286,296.47394,,231.65521
-8.0,-79.845,Pacific,2.3633333333333333,4362.7227,2438.2834,1397.3392,1998,970.4341,1578.4521,3226.6758,2353.0146,5985.572,3156.3167,1998.4652,3236.5923,,2791.2605
-3.583,-85.833,Pacific,3.9299999999999997,1340.286,871.8022,853.3649,1998,275.63446,270.52924,296.49323,443.45883,807.37177,1467.5306,1386.6337,1176.3064,,835.401
-2.9625,-25.6148,Atlantic,2.595360888888889,318.13577,288.6768,427.40228,1998,370.58707,281.19708,267.61392,409.4758,383.66904,378.666,361.1896,370.77176,,350.6714
1.68,-25.01,Atlantic,2.7292743130922723,305.4017,289.40033,344.72702,1998,370.0701,370.41388,318.42307,307.2994,452.9374,382.72253,411.20673,386.2482,,358.07733
2.433333333333334,-102.0,Pacific,4.3,529.7495,411.21506,485.5783,1998,262.1343,291.43747,322.26627,344.90326,294.61423,404.41153,495.9639,489.02228,,393.7542
